file_name,url,inference_transcript,audio_duration
STT_GR_0001_0001_13400_to_17100,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0001_13400_to_17100.wav,ཨ་འོ་ན། ཆུ་ྲོང་རྣམ་པ་ལ་དེ་རིང་སྔགས་འགྲོ་ཡ།  ,3.7
STT_GR_0001_0002_17400_to_21800,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0002_17400_to_21800.wav,ཨེ་དེ་རིང་བླ་མའི་རྣམ་རབྱོག་གི་སྒོ་ནས་རང་གི་གང་ཞི་ཅིག་ཤོར་དགོས་ཀི་ཡོད་རེད་ཟེ།  ,4.4
STT_GR_0001_0003_22300_to_27800,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0003_22300_to_27800.wav,དེ་ནས་ཡིན་ན་ད་ལྟ། ཨ། ཅུ་གྲོགས་ སང་ཉིན་རྣམ་པ་མྟ་ཚོག་ཡོད་རེད།  ,5.5
STT_GR_0001_0004_28900_to_31600,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0004_28900_to_31600.wav,ཨེ་ད་རང་གི་ ,2.7
STT_GR_0001_0005_32900_to_57900,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0005_32900_to_57900.wav,ཐུ་བསམ་གི་མགྱོག་པ་གང ཞེ་དྲག་ཡོད་མ་རེད། ད་རང་གི་ཉམས་མྱོང་གི་ལྟ་དོད་ཞེ་ཡོ་རེད། དེ་ནས་འགྲིག་སར་ལས་འགྲིག་ཆར་རེད། མ་འགྲིག་ཚར་ལ་དེ་ཡང་གོང་ཐག་ཞོ་དེ་ལ་མཁས་པ་མང་པོ་རྒྱོག་གོ་ཡད། ཁོང་ལམ་ཕེབ་ཡོ་རྒྱུ་གནང་གོད་རེད་ཟེ། དེ་ནས་དེ་ཡང་ད་ལྟ་བླ་མ་ཞེས་པའི་མིང་སི་མདོག་པོ་ཡོད་རེད། ད་དེ་ལ་འོང་སོ་བླུ་སྐད་ལྟ་བུ་ྱིས་ན། གླག་ལ་ཚེབ་ྐྱིད་ཀུན་གྱི། གླ་མང་ནས་སེམས་རྐྱེན་ཀུན་གྱི་མར་ཙི།  ,25.0
STT_GR_0001_0006_58500_to_67200,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0006_58500_to_67200.wav,དེ་ནས་རླག་སེམས་ྐཅིད་ཀུ་ྱ་རླག་ཕྱིན་ན་ག་རེ་རེད། སེམས་སྐྱིན་ཐམས་ཅད་ཀི་ཡིད་ལ་སླེབས་དགོས་བྱས། རླག་ཞི་པ་དེ་ཡིད་རེད། ཡིད་ལ་སླེབས་ཀི་ཡོད་རེད།  ,8.7
STT_GR_0001_0007_67900_to_76200,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0007_67900_to_76200.wav,དེའི་ནང་ནས་ཡ། ྱ ཤེས་རབ་དང་ལྡན་པ་ཀར་པ་དང་ལྡན་པ་ཐམས་ཅད། ལྷག་པར་དུ་དེ་ལ་སེམས་ལ་གནས་ྒྱུ་ཙི་ཡིན་པ་རེད་ཙི།  ,8.3
STT_GR_0001_0008_76900_to_79200,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0008_76900_to_79200.wav,དཔེ་ཆ་བརྒྱབ་ན་ད་ྟ་ད་དག་སུང།  ,2.3
STT_GR_0001_0009_81500_to_92500,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0009_81500_to_92500.wav,མཁེས་པོ་ཅིག་མི་ཡིན་པ་ཚོག་ཀི་སུ་ཧུང་ངོ་རེད། ཨོ་ད་ད་ད་འཛམ་བོན་གླིང་ན། ཨ། དེ་ནིང་བཟང་ཕྱོགས་ཚེམ་དཔ། སྐྱག་མཚན་ཡིན་ཟོང་པ་གོང་ལ་གང་རེད་དེ། རྒྱལ་བ་ཐམས་ཅད་ཅིག་ཡིན་པ་རེད་ཟེ།  ,11.0
STT_GR_0001_0010_93600_to_106200,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0010_93600_to_106200.wav,ཁོང་ཨེ་ནས་དགེ་སྡུན་ཁྲད་ི་ལྔ་རྡག་རེད།་བུ་གླིང་ྡུ་ནས་ཏི་ཟ། བསོད་ནམས་དང་ཤེས་རབ་ལྡན་པ་ཐམས་ཅད་ཀི་རྒྱུད་ལ། མཛའ་བུ་གླིང་གི་ཆུ་ལོག་གང་ཡིན་པ་མི་རིགས་གང་ཡིན་པ་དེ་ཐམས་ཅད་ཀི་དེ་རེད་ད་ལྟ།  ,12.6
